source_species	input_gene	normalized_gene	human_ensembl	human_symbol	status	reason	updated_at
mouse	Farp1	Farp1	ENSG00000152767	FARP1	mapped		2026-05-26T14:35:57+00:00
mouse	Fars2	Fars2	ENSG00000145982	FARS2	mapped		2026-05-26T14:36:00+00:00
mouse	Fat3	Fat3	ENSG00000165323	FAT3	mapped		2026-05-26T14:36:04+00:00
mouse	Fblim1	Fblim1	ENSG00000162458	FBLIM1	mapped		2026-05-26T14:36:07+00:00
mouse	Fbln2	Fbln2	ENSG00000163520	FBLN2	mapped		2026-05-26T14:36:10+00:00
mouse	Fbln5	Fbln5	ENSG00000140092	FBLN5	mapped		2026-05-26T14:36:13+00:00
mouse	Fbn2	Fbn2	ENSG00000138829	FBN2	mapped		2026-05-26T14:36:17+00:00
mouse	Fbp2	Fbp2	ENSG00000130957	FBP2	mapped		2026-05-26T14:36:20+00:00
mouse	Fbxl20	Fbxl20	ENSG00000108306	FBXL20	mapped		2026-05-26T14:36:23+00:00
mouse	Fbxo2	Fbxo2	ENSG00000116661	FBXO2	mapped		2026-05-26T14:36:26+00:00
mouse	Fcgr1	Fcgr1	ENSG00000150337	FCGR1A	mapped		2026-05-26T14:36:29+00:00
mouse	Fcrls	Fcrls			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:36:30+00:00
mouse	Fermt1	Fermt1	ENSG00000101311	FERMT1	mapped		2026-05-26T14:36:34+00:00
mouse	Fermt2	Fermt2	ENSG00000073712	FERMT2	mapped		2026-05-26T14:36:37+00:00
mouse	Fev	Fev	ENSG00000163497	FEV	mapped		2026-05-26T14:36:39+00:00
mouse	Fez1	Fez1	ENSG00000149557	FEZ1	mapped		2026-05-26T14:36:42+00:00
mouse	Fezf1	Fezf1	ENSG00000128610	FEZF1	mapped		2026-05-26T14:36:46+00:00
mouse	Fezf2	Fezf2	ENSG00000153266	FEZF2	mapped		2026-05-26T14:36:49+00:00
mouse	Fga	Fga			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:36:53+00:00
mouse	Fgb	Fgb	ENSG00000171564	FGB	mapped		2026-05-26T14:36:56+00:00
mouse	Fgfr3	Fgfr3	ENSG00000068078	FGFR3	mapped		2026-05-26T14:36:59+00:00
mouse	Fgg	Fgg	ENSG00000171557	FGG	mapped		2026-05-26T14:37:03+00:00
mouse	Fgl2	Fgl2	ENSG00000127951	FGL2	mapped		2026-05-26T14:37:06+00:00
mouse	Fhdc1	Fhdc1	ENSG00000137460	FHDC1	mapped		2026-05-26T14:37:09+00:00
mouse	Fhit	Fhit	ENSG00000189283	FHIT	mapped		2026-05-26T14:37:12+00:00
mouse	Fjx1	Fjx1	ENSG00000179431	FJX1	mapped		2026-05-26T14:37:16+00:00
mouse	Fkbp5	Fkbp5	ENSG00000096060	FKBP5	mapped		2026-05-26T14:37:20+00:00
mouse	Flot1	Flot1	ENSG00000137312	FLOT1	mapped		2026-05-26T14:37:23+00:00
mouse	Flot2	Flot2	ENSG00000132589	FLOT2	mapped		2026-05-26T14:37:25+00:00
mouse	Flrt3	Flrt3	ENSG00000125848	FLRT3	mapped		2026-05-26T14:37:29+00:00
mouse	Flt1	Flt1	ENSG00000102755	FLT1	mapped		2026-05-26T14:37:33+00:00
mouse	Fn1	Fn1	ENSG00000115414	FN1	mapped		2026-05-26T14:37:36+00:00
mouse	Fos	Fos	ENSG00000170345	FOS	mapped		2026-05-26T14:37:39+00:00
mouse	Foxn3	Foxn3	ENSG00000053254	FOXN3	mapped		2026-05-26T14:37:42+00:00
mouse	Foxo1	Foxo1	ENSG00000150907	FOXO1	mapped		2026-05-26T14:37:45+00:00
mouse	Foxp2	Foxp2	ENSG00000128573	FOXP2	mapped		2026-05-26T14:37:48+00:00
mouse	Frmd4a	Frmd4a	ENSG00000151474	FRMD4A	mapped		2026-05-26T14:37:52+00:00
mouse	Frmd5	Frmd5	ENSG00000171877	FRMD5	mapped		2026-05-26T14:37:55+00:00
mouse	Frmpd4	Frmpd4	ENSG00000169933	FRMPD4	mapped		2026-05-26T14:37:58+00:00
mouse	Frzb	Frzb	ENSG00000162998	FRZB	mapped		2026-05-26T14:38:01+00:00
mouse	Fst	Fst	ENSG00000134363	FST	mapped		2026-05-26T14:38:05+00:00
mouse	Ftl1	Ftl1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:38:08+00:00
mouse	Fubp1	Fubp1	ENSG00000162613	FUBP1	mapped		2026-05-26T14:38:10+00:00
mouse	Furin	Furin	ENSG00000140564	FURIN	mapped		2026-05-26T14:38:14+00:00
mouse	Fxr1	Fxr1	ENSG00000114416	FXR1	mapped		2026-05-26T14:38:17+00:00
mouse	Fxr2	Fxr2	ENSG00000129245	FXR2	mapped		2026-05-26T14:38:20+00:00
mouse	Fxyd1	Fxyd1	ENSG00000266964	FXYD1	mapped		2026-05-26T14:38:23+00:00
mouse	Fxyd6	Fxyd6	ENSG00000137726	FXYD6	mapped		2026-05-26T14:38:26+00:00
mouse	Fyn	Fyn	ENSG00000010810	FYN	mapped		2026-05-26T14:38:29+00:00
mouse	Fzd1	Fzd1	ENSG00000157240	FZD1	mapped		2026-05-26T14:38:32+00:00
mouse	Fzd4	Fzd4	ENSG00000174804	FZD4	mapped		2026-05-26T14:38:35+00:00
mouse	Fzd5	Fzd5	ENSG00000163251	FZD5	mapped		2026-05-26T14:38:38+00:00
mouse	Fzd9	Fzd9	ENSG00000188763	FZD9	mapped		2026-05-26T14:38:41+00:00
mouse	Gabrd	Gabrd	ENSG00000187730	GABRD	mapped		2026-05-26T14:38:45+00:00
mouse	Gabre	Gabre	ENSG00000102287	GABRE	mapped		2026-05-26T14:38:48+00:00
mouse	Gabrg1	Gabrg1	ENSG00000163285	GABRG1	mapped		2026-05-26T14:38:51+00:00
mouse	Gabrq	Gabrq	ENSG00000268089	GABRQ	mapped		2026-05-26T14:38:54+00:00
mouse	Gabrr1	Gabrr1	ENSG00000146276	GABRR1	mapped		2026-05-26T14:38:58+00:00
mouse	Gad1	Gad1	ENSG00000128683	GAD1	mapped		2026-05-26T14:39:01+00:00
mouse	Gad2	Gad2	ENSG00000136750	GAD2	mapped		2026-05-26T14:39:04+00:00
mouse	Gadd45a	Gadd45a	ENSG00000116717	GADD45A	mapped		2026-05-26T14:39:07+00:00
mouse	Gadd45b	Gadd45b	ENSG00000099860	GADD45B	mapped		2026-05-26T14:39:10+00:00
mouse	Gadd45g	Gadd45g	ENSG00000130222	GADD45G	mapped		2026-05-26T14:39:12+00:00
mouse	Galntl6	Galntl6	ENSG00000174473	GALNTL6	mapped		2026-05-26T14:39:15+00:00
mouse	Gap43	Gap43	ENSG00000172020	GAP43	mapped		2026-05-26T14:39:19+00:00
mouse	Gata3	Gata3	ENSG00000107485	GATA3	mapped		2026-05-26T14:39:22+00:00
mouse	Gbp2	Gbp2			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:39:25+00:00
mouse	Gbp3	Gbp3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:39:28+00:00
mouse	Gbp7	Gbp7			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:39:31+00:00
mouse	Gch1	Gch1	ENSG00000131979	GCH1	mapped		2026-05-26T14:39:34+00:00
mouse	Gcnt1	Gcnt1	ENSG00000187210	GCNT1	mapped		2026-05-26T14:39:37+00:00
mouse	Gcnt2	Gcnt2			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:39:39+00:00
mouse	Gdf15	Gdf15	ENSG00000130513	GDF15	mapped		2026-05-26T14:39:43+00:00
mouse	Gdi2	Gdi2	ENSG00000057608	GDI2	mapped		2026-05-26T14:39:47+00:00
mouse	Gfap	Gfap	ENSG00000131095	GFAP	mapped		2026-05-26T14:39:51+00:00
mouse	Gfra2	Gfra2	ENSG00000168546	GFRA2	mapped		2026-05-26T14:39:55+00:00
mouse	Gfra3	Gfra3	ENSG00000146013	GFRA3	mapped		2026-05-26T14:39:58+00:00
mouse	Ggta1	Ggta1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:40:02+00:00
mouse	Ghrl	Ghrl	ENSG00000157017	GHRL	mapped		2026-05-26T14:40:05+00:00
mouse	Gipc1	Gipc1	ENSG00000123159	GIPC1	mapped		2026-05-26T14:40:08+00:00
mouse	Git1	Git1	ENSG00000108262	GIT1	mapped		2026-05-26T14:40:11+00:00
mouse	Git2	Git2	ENSG00000139436	GIT2	mapped		2026-05-26T14:40:14+00:00
mouse	Gja1	Gja1	ENSG00000152661	GJA1	mapped		2026-05-26T14:40:18+00:00
mouse	Gjb1	Gjb1	ENSG00000169562	GJB1	mapped		2026-05-26T14:40:21+00:00
mouse	Gjb6	Gjb6	ENSG00000121742	GJB6	mapped		2026-05-26T14:40:23+00:00
mouse	Gkn3	Gkn3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:40:26+00:00
mouse	Gldc	Gldc	ENSG00000178445	GLDC	mapped		2026-05-26T14:40:30+00:00
mouse	Glis3	Glis3	ENSG00000107249	GLIS3	mapped		2026-05-26T14:40:32+00:00
mouse	Glrb	Glrb	ENSG00000109738	GLRB	mapped		2026-05-26T14:40:35+00:00
mouse	Glud1	Glud1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:40:39+00:00
mouse	Glul	Glul	ENSG00000135821	GLUL	mapped		2026-05-26T14:40:42+00:00
mouse	Gng4	Gng4	ENSG00000168243	GNG4	mapped		2026-05-26T14:40:45+00:00
mouse	Gng8	Gng8	ENSG00000167414	GNG8	mapped		2026-05-26T14:40:48+00:00
mouse	Golm1	Golm1	ENSG00000135052	GOLM1	mapped		2026-05-26T14:40:51+00:00
mouse	Gpc4	Gpc4	ENSG00000076716	GPC4	mapped		2026-05-26T14:40:54+00:00
mouse	Gpc5	Gpc5	ENSG00000179399	GPC5	mapped		2026-05-26T14:40:57+00:00
mouse	Gphn	Gphn	ENSG00000171723	GPHN	mapped		2026-05-26T14:41:01+00:00
mouse	Gpm6b	Gpm6b	ENSG00000046653	GPM6B	mapped		2026-05-26T14:41:04+00:00
mouse	Gpnmb	Gpnmb	ENSG00000136235	GPNMB	mapped		2026-05-26T14:41:08+00:00
mouse	Gpr101	Gpr101	ENSG00000165370	GPR101	mapped		2026-05-26T14:41:11+00:00
mouse	Gpr139	Gpr139	ENSG00000180269	GPR139	mapped		2026-05-26T14:41:14+00:00
mouse	Gpr149	Gpr149	ENSG00000174948	GPR149	mapped		2026-05-26T14:41:17+00:00
mouse	Gpr17	Gpr17	ENSG00000144230	GPR17	mapped		2026-05-26T14:41:20+00:00
mouse	Gpr34	Gpr34	ENSG00000171659	GPR34	mapped		2026-05-26T14:41:24+00:00
mouse	Gpr37l1	Gpr37l1	ENSG00000170075	GPR37L1	mapped		2026-05-26T14:41:27+00:00
mouse	Gpr84	Gpr84			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:41:30+00:00
mouse	Gprc5a	Gprc5a	ENSG00000013588	GPRC5A	mapped		2026-05-26T14:41:34+00:00
mouse	Gpsm3	Gpsm3	ENSG00000213654	GPSM3	mapped		2026-05-26T14:41:37+00:00
mouse	Gria4	Gria4	ENSG00000152578	GRIA4	mapped		2026-05-26T14:41:42+00:00
mouse	Grid2	Grid2	ENSG00000152208	GRID2	mapped		2026-05-26T14:41:45+00:00
mouse	Grik1	Grik1	ENSG00000171189	GRIK1	mapped		2026-05-26T14:41:49+00:00
mouse	Grik3	Grik3	ENSG00000163873	GRIK3	mapped		2026-05-26T14:41:52+00:00
mouse	Grik4	Grik4	ENSG00000149403	GRIK4	mapped		2026-05-26T14:41:56+00:00
mouse	Grik5	Grik5	ENSG00000105737	GRIK5	mapped		2026-05-26T14:41:59+00:00
mouse	Grin2c	Grin2c	ENSG00000161509	GRIN2C	mapped		2026-05-26T14:42:02+00:00
mouse	Grin3a	Grin3a	ENSG00000198785	GRIN3A	mapped		2026-05-26T14:42:06+00:00
mouse	Grip1	Grip1	ENSG00000155974	GRIP1	mapped		2026-05-26T14:42:09+00:00
mouse	Grm3	Grm3	ENSG00000198822	GRM3	mapped		2026-05-26T14:42:13+00:00
mouse	Grm8	Grm8	ENSG00000179603	GRM8	mapped		2026-05-26T14:42:16+00:00
mouse	Grn	Grn	ENSG00000030582	GRN	mapped		2026-05-26T14:42:19+00:00
mouse	Gsg1l	Gsg1l	ENSG00000169181	GSG1L	mapped		2026-05-26T14:42:22+00:00
mouse	Gsk3b	Gsk3b	ENSG00000082701	GSK3B	mapped		2026-05-26T14:42:26+00:00
mouse	Gsn	Gsn	ENSG00000148180	GSN	mapped		2026-05-26T14:42:30+00:00
mouse	Gsr	Gsr	ENSG00000104687	GSR	mapped		2026-05-26T14:42:34+00:00
mouse	Gstm1	Gstm1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:37+00:00
mouse	Gstp1	Gstp1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:40+00:00
mouse	H2-aa	H2-aa			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:43+00:00
mouse	H2-ab1	H2-ab1	ENSG00000232629	HLA-DQB2	mapped		2026-05-26T14:42:46+00:00
mouse	H2-dmb2	H2-dmb2			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:48+00:00
mouse	H2-eb1	H2-eb1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:52+00:00
mouse	H2-k1	H2-k1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:55+00:00
mouse	H2-t10	H2-t10			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:42:58+00:00
mouse	H2-t23	H2-t23			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:43:00+00:00
mouse	Hand1	Hand1	ENSG00000113196	HAND1	mapped		2026-05-26T14:43:04+00:00
mouse	Hapln1	Hapln1	ENSG00000145681	HAPLN1	mapped		2026-05-26T14:43:07+00:00
mouse	Hapln2	Hapln2	ENSG00000132702	HAPLN2	mapped		2026-05-26T14:43:10+00:00
mouse	Hbegf	Hbegf	ENSG00000113070	HBEGF	mapped		2026-05-26T14:43:14+00:00
mouse	Hdac5	Hdac5	ENSG00000108840	HDAC5	mapped		2026-05-26T14:43:17+00:00
mouse	Hdc	Hdc	ENSG00000140287	HDC	mapped		2026-05-26T14:43:20+00:00
mouse	Herc1	Herc1	ENSG00000103657	HERC1	mapped		2026-05-26T14:43:23+00:00
mouse	Herpud1	Herpud1	ENSG00000051108	HERPUD1	mapped		2026-05-26T14:43:27+00:00
mouse	Hexb	Hexb	ENSG00000049860	HEXB	mapped		2026-05-26T14:43:31+00:00
mouse	Hfe	Hfe	ENSG00000010704	HFE	mapped		2026-05-26T14:43:34+00:00
mouse	Hgf	Hgf	ENSG00000019991	HGF	mapped		2026-05-26T14:43:38+00:00
mouse	Hhip	Hhip	ENSG00000164161	HHIP	mapped		2026-05-26T14:43:41+00:00
mouse	Hif1a	Hif1a	ENSG00000100644	HIF1A	mapped		2026-05-26T14:43:44+00:00
mouse	Higd1b	Higd1b	ENSG00000131097	HIGD1B	mapped		2026-05-26T14:43:47+00:00
mouse	Hilpda	Hilpda	ENSG00000135245	HILPDA	mapped		2026-05-26T14:43:50+00:00
mouse	Hip1	Hip1	ENSG00000127946	HIP1	mapped		2026-05-26T14:43:53+00:00
mouse	Hip1r	Hip1r	ENSG00000130787	HIP1R	mapped		2026-05-26T14:43:55+00:00
mouse	Hist1h1e	Hist1h1e			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:43:57+00:00
mouse	Hist1h2bc	Hist1h2bc			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:43:58+00:00
mouse	Hmmr	Hmmr	ENSG00000072571	HMMR	mapped		2026-05-26T14:44:01+00:00
mouse	Hnrnpab	Hnrnpab	ENSG00000197451	HNRNPAB	mapped		2026-05-26T14:44:04+00:00
mouse	Hnrnpd	Hnrnpd	ENSG00000138668	HNRNPD	mapped		2026-05-26T14:44:07+00:00
mouse	Hnrnpm	Hnrnpm	ENSG00000099783	HNRNPM	mapped		2026-05-26T14:44:10+00:00
mouse	Hnrnpu	Hnrnpu	ENSG00000153187	HNRNPU	mapped		2026-05-26T14:44:14+00:00
mouse	Homer2	Homer2	ENSG00000103942	HOMER2	mapped		2026-05-26T14:44:18+00:00
mouse	Hopx	Hopx	ENSG00000171476	HOPX	mapped		2026-05-26T14:44:21+00:00
mouse	Hoxa10	Hoxa10	ENSG00000253293	HOXA10	mapped		2026-05-26T14:44:24+00:00
mouse	Hoxa5	Hoxa5	ENSG00000106004	HOXA5	mapped		2026-05-26T14:44:27+00:00
mouse	Hoxa7	Hoxa7	ENSG00000122592	HOXA7	mapped		2026-05-26T14:44:30+00:00
mouse	Hoxb3	Hoxb3	ENSG00000120093	HOXB3	mapped		2026-05-26T14:44:33+00:00
mouse	Hoxb5	Hoxb5	ENSG00000120075	HOXB5	mapped		2026-05-26T14:44:36+00:00
mouse	Hoxb5os	Hoxb5os			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:44:39+00:00
mouse	Hoxb6	Hoxb6	ENSG00000108511	HOXB6	mapped		2026-05-26T14:44:42+00:00
mouse	Hoxb7	Hoxb7	ENSG00000260027	HOXB7	mapped		2026-05-26T14:44:45+00:00
mouse	Hoxb9	Hoxb9	ENSG00000170689	HOXB9	mapped		2026-05-26T14:44:48+00:00
mouse	Hoxc10	Hoxc10	ENSG00000180818	HOXC10	mapped		2026-05-26T14:44:52+00:00
mouse	Hoxc9	Hoxc9	ENSG00000180806	HOXC9	mapped		2026-05-26T14:44:55+00:00
mouse	Hpca	Hpca	ENSG00000121905	HPCA	mapped		2026-05-26T14:44:59+00:00
mouse	Hpcal1	Hpcal1	ENSG00000115756	HPCAL1	mapped		2026-05-26T14:45:02+00:00
mouse	Hpcal4	Hpcal4	ENSG00000116983	HPCAL4	mapped		2026-05-26T14:45:05+00:00
mouse	Hs3st2	Hs3st2	ENSG00000122254	HS3ST2	mapped		2026-05-26T14:45:08+00:00
mouse	Hs3st4	Hs3st4	ENSG00000182601	HS3ST4	mapped		2026-05-26T14:45:12+00:00
mouse	Hsd17b12	Hsd17b12	ENSG00000149084	HSD17B12	mapped		2026-05-26T14:45:15+00:00
mouse	Hsd17b13	Hsd17b13	ENSG00000170509	HSD17B13	mapped		2026-05-26T14:45:18+00:00
mouse	Hsd17b4	Hsd17b4	ENSG00000133835	HSD17B4	mapped		2026-05-26T14:45:21+00:00
mouse	Hspa1a	Hspa1a			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:45:24+00:00
mouse	Htr2a	Htr2a	ENSG00000102468	HTR2A	mapped		2026-05-26T14:45:28+00:00
mouse	Htr2b	Htr2b	ENSG00000135914	HTR2B	mapped		2026-05-26T14:45:30+00:00
mouse	Htr3a	Htr3a	ENSG00000166736	HTR3A	mapped		2026-05-26T14:45:34+00:00
mouse	Htr3b	Htr3b	ENSG00000149305	HTR3B	mapped		2026-05-26T14:45:37+00:00
mouse	Htr4	Htr4	ENSG00000164270	HTR4	mapped		2026-05-26T14:45:40+00:00
mouse	Htr5b	Htr5b			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:45:43+00:00
mouse	Htr7	Htr7	ENSG00000148680	HTR7	mapped		2026-05-26T14:45:46+00:00
mouse	Htra1	Htra1	ENSG00000166033	HTRA1	mapped		2026-05-26T14:45:49+00:00
mouse	Hunk	Hunk	ENSG00000142149	HUNK	mapped		2026-05-26T14:45:52+00:00
mouse	Icam1	Icam1	ENSG00000090339	ICAM1	mapped		2026-05-26T14:45:55+00:00
mouse	Id1	Id1	ENSG00000125968	ID1	mapped		2026-05-26T14:45:58+00:00
mouse	Id2	Id2	ENSG00000115738	ID2	mapped		2026-05-26T14:46:02+00:00
mouse	Id3	Id3	ENSG00000117318	ID3	mapped		2026-05-26T14:46:05+00:00
mouse	Id4	Id4	ENSG00000172201	ID4	mapped		2026-05-26T14:46:09+00:00
mouse	Ier3	Ier3	ENSG00000137331	IER3	mapped		2026-05-26T14:46:12+00:00
mouse	Ifi204	Ifi204			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:46:14+00:00
mouse	Ifi27l2a	Ifi27l2a			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:46:17+00:00
mouse	Ifih1	Ifih1	ENSG00000115267	IFIH1	mapped		2026-05-26T14:46:20+00:00
mouse	Ifit1	Ifit1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:46:24+00:00
mouse	Ifit2	Ifit2	ENSG00000119922	IFIT2	mapped		2026-05-26T14:46:26+00:00
mouse	Ifit3	Ifit3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:46:29+00:00
mouse	Ifitm1	Ifitm1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:46:32+00:00
mouse	Ifitm3	Ifitm3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:46:34+00:00
mouse	Ifnb1	Ifnb1	ENSG00000171855	IFNB1	mapped		2026-05-26T14:46:37+00:00
mouse	Igf1	Igf1	ENSG00000017427	IGF1	mapped		2026-05-26T14:46:41+00:00
mouse	Igf1r	Igf1r	ENSG00000140443	IGF1R	mapped		2026-05-26T14:46:44+00:00
mouse	Igf2	Igf2	ENSG00000167244	IGF2	mapped		2026-05-26T14:46:47+00:00
mouse	Igfbp2	Igfbp2	ENSG00000115457	IGFBP2	mapped		2026-05-26T14:46:50+00:00
mouse	Igfbp3	Igfbp3	ENSG00000146674	IGFBP3	mapped		2026-05-26T14:46:54+00:00
mouse	Igfbp4	Igfbp4	ENSG00000141753	IGFBP4	mapped		2026-05-26T14:46:57+00:00
mouse	Igfbp5	Igfbp5	ENSG00000115461	IGFBP5	mapped		2026-05-26T14:47:00+00:00
mouse	Igfbp7	Igfbp7	ENSG00000163453	IGFBP7	mapped		2026-05-26T14:47:03+00:00
mouse	Igfbpl1	Igfbpl1	ENSG00000137142	IGFBPL1	mapped		2026-05-26T14:47:05+00:00
mouse	Igsf1	Igsf1	ENSG00000147255	IGSF1	mapped		2026-05-26T14:47:08+00:00
mouse	Igsf9b	Igsf9b	ENSG00000080854	IGSF9B	mapped		2026-05-26T14:47:12+00:00
mouse	Igtp	Igtp			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:47:15+00:00
mouse	Iigp1	Iigp1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:47:18+00:00
mouse	Ikzf2	Ikzf2	ENSG00000030419	IKZF2	mapped		2026-05-26T14:47:21+00:00
mouse	Il1b	Il1b	ENSG00000125538	IL1B	mapped		2026-05-26T14:47:24+00:00
mouse	Il1r1	Il1r1	ENSG00000115594	IL1R1	mapped		2026-05-26T14:47:27+00:00
mouse	Il1rap	Il1rap	ENSG00000196083	IL1RAP	mapped		2026-05-26T14:47:30+00:00
mouse	Il1rapl1	Il1rapl1	ENSG00000169306	IL1RAPL1	mapped		2026-05-26T14:47:33+00:00
mouse	Il1rapl2	Il1rapl2	ENSG00000189108	IL1RAPL2	mapped		2026-05-26T14:47:35+00:00
mouse	Il1rn	Il1rn	ENSG00000136689	IL1RN	mapped		2026-05-26T14:47:38+00:00
mouse	Il23a	Il23a	ENSG00000110944	IL23A	mapped		2026-05-26T14:47:41+00:00
mouse	Il33	Il33	ENSG00000137033	IL33	mapped		2026-05-26T14:47:44+00:00
mouse	Incenp	Incenp	ENSG00000149503	INCENP	mapped		2026-05-26T14:47:47+00:00
mouse	Inf2	Inf2	ENSG00000203485	INF2	mapped		2026-05-26T14:47:51+00:00
mouse	Inmt	Inmt	ENSG00000241644	INMT	mapped		2026-05-26T14:47:54+00:00
mouse	Inpp4b	Inpp4b	ENSG00000109452	INPP4B	mapped		2026-05-26T14:47:57+00:00
mouse	Inpp5d	Inpp5d	ENSG00000168918	INPP5D	mapped		2026-05-26T14:48:01+00:00
mouse	Insrr	Insrr	ENSG00000027644	INSRR	mapped		2026-05-26T14:48:04+00:00
mouse	Iqsec1	Iqsec1	ENSG00000144711	IQSEC1	mapped		2026-05-26T14:48:07+00:00
mouse	Iqsec2	Iqsec2	ENSG00000124313	IQSEC2	mapped		2026-05-26T14:48:10+00:00
mouse	Iqsec3	Iqsec3	ENSG00000120645	IQSEC3	mapped		2026-05-26T14:48:14+00:00
mouse	Irf1	Irf1	ENSG00000125347	IRF1	mapped		2026-05-26T14:48:17+00:00
mouse	Irf7	Irf7	ENSG00000185507	IRF7	mapped		2026-05-26T14:48:20+00:00
mouse	Irf8	Irf8	ENSG00000140968	IRF8	mapped		2026-05-26T14:48:23+00:00
mouse	Irgm1	Irgm1			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:48:25+00:00
mouse	Irs4	Irs4	ENSG00000133124	IRS4	mapped		2026-05-26T14:48:29+00:00
mouse	Irx2	Irx2	ENSG00000170561	IRX2	mapped		2026-05-26T14:48:32+00:00
mouse	Irx4	Irx4	ENSG00000113430	IRX4	mapped		2026-05-26T14:48:35+00:00
mouse	Isl1	Isl1	ENSG00000016082	ISL1	mapped		2026-05-26T14:48:38+00:00
mouse	Itga1	Itga1	ENSG00000213949	ITGA1	mapped		2026-05-26T14:48:41+00:00
mouse	Itga2	Itga2	ENSG00000164171	ITGA2	mapped		2026-05-26T14:48:44+00:00
mouse	Itga3	Itga3	ENSG00000005884	ITGA3	mapped		2026-05-26T14:48:47+00:00
mouse	Itga4	Itga4	ENSG00000115232	ITGA4	mapped		2026-05-26T14:48:51+00:00
mouse	Itga5	Itga5	ENSG00000161638	ITGA5	mapped		2026-05-26T14:48:54+00:00
mouse	Itga9	Itga9	ENSG00000144668	ITGA9	mapped		2026-05-26T14:48:57+00:00
mouse	Itgam	Itgam	ENSG00000169896	ITGAM	mapped		2026-05-26T14:49:00+00:00
mouse	Itgax	Itgax	ENSG00000140678	ITGAX	mapped		2026-05-26T14:49:03+00:00
mouse	Itgb1	Itgb1	ENSG00000150093	ITGB1	mapped		2026-05-26T14:49:06+00:00
mouse	Itgb3	Itgb3	ENSG00000259207	ITGB3	mapped		2026-05-26T14:49:10+00:00
mouse	Itgb4	Itgb4	ENSG00000132470	ITGB4	mapped		2026-05-26T14:49:12+00:00
mouse	Itgb5	Itgb5	ENSG00000082781	ITGB5	mapped		2026-05-26T14:49:15+00:00
mouse	Itgb8	Itgb8	ENSG00000105855	ITGB8	mapped		2026-05-26T14:49:18+00:00
mouse	Itgbl1	Itgbl1	ENSG00000198542	ITGBL1	mapped		2026-05-26T14:49:21+00:00
mouse	Itih2	Itih2	ENSG00000151655	ITIH2	mapped		2026-05-26T14:49:24+00:00
mouse	Itih3	Itih3	ENSG00000162267	ITIH3	mapped		2026-05-26T14:49:28+00:00
mouse	Itih5	Itih5	ENSG00000123243	ITIH5	mapped		2026-05-26T14:49:31+00:00
mouse	Itm2a	Itm2a	ENSG00000078596	ITM2A	mapped		2026-05-26T14:49:34+00:00
mouse	Itm2c	Itm2c	ENSG00000135916	ITM2C	mapped		2026-05-26T14:49:37+00:00
mouse	Itpr1	Itpr1	ENSG00000150995	ITPR1	mapped		2026-05-26T14:49:40+00:00
mouse	Itpr3	Itpr3	ENSG00000096433	ITPR3	mapped		2026-05-26T14:49:43+00:00
mouse	Itsn1	Itsn1	ENSG00000205726	ITSN1	mapped		2026-05-26T14:49:47+00:00
mouse	Jak2	Jak2	ENSG00000096968	JAK2	mapped		2026-05-26T14:49:50+00:00
mouse	Jam2	Jam2	ENSG00000154721	JAM2	mapped		2026-05-26T14:49:53+00:00
mouse	Jph4	Jph4	ENSG00000092051	JPH4	mapped		2026-05-26T14:49:57+00:00
mouse	Jun	Jun	ENSG00000177606	JUN	mapped		2026-05-26T14:50:00+00:00
mouse	Kank1	Kank1	ENSG00000107104	KANK1	mapped		2026-05-26T14:50:03+00:00
mouse	Kcna2	Kcna2	ENSG00000177301	KCNA2	mapped		2026-05-26T14:50:06+00:00
